angDist,_RAJ2000,_DEJ2000,GaiaEDR3,RA_ICRS,DE_ICRS,GLON,GLAT,Plx,GMAG,Gmag,BP-RP,E(BP/RP)c,pmRA,pmDE,RUWE,Rpm,f_Plx,f_pm,_RA.icrs,_DE.icrs,_RAJ2000.1,_DEJ2000.1,SDSS,PMF,Teff,e_Teff,logg,e_logg,pMS,pELM,Sloan,SimbadName,_RA,_DE,Type
0.134398,241.389572489385,36.8278419161171,1378395575272278272,241.38957248939,36.82784191612,58.872993107914816,48.16604778732954,0.2207301570733371,2.112731442125135,15.393423,-0.1929102,-0.0071465041476874,-11.641486533646509,4.740677608536916,1.082656,10.890053659597024,1,0,241.38957248939,36.82784191612,241.3895833,36.8278056,160533.50+364940.1,1682-53173-0618,15126,137,3.754,0.027,0.58,0.25,Sloan,SDSS J160533.50+364940.1,241.38958,36.82781,Low Mass White Dwarfs
0.162043,176.9076532287702,47.346905176679,786534685153271040,176.90765322877,47.34690517668,150.44572611558812,66.22848523621904,0.0882986716921306,,16.858713,-0.03728485,,-5.9379038484580615,-4.044506886966547,1.0005661,11.140689475862716,0,1,176.90765322877,47.34690517668,176.9076667,47.3468611,114737.84+472048.7,1446-53080-0314,12151,191,3.656,0.054,0.39,0.38,Sloan,SDSS J114737.84+472048.8,176.90767,47.34686,Low Mass White Dwarfs
0.187708,216.0702512496981,-1.7264218235987,3652514512928141312,216.0702512497,-1.7264218236,344.4040788290974,53.498836177156406,0.1208871545925343,,16.529306,-0.14933777,,-11.258763769539076,-4.676680329261418,1.0350479,11.95958069427913,0,1,216.0702512497,-1.7264218236,216.0702917,-1.7263889,142416.87-014335.0,0917-52400-0635,15262,187,3.625,0.034,0.49,0.23,Sloan,SDSS J142416.87-014335.0,216.07029,-1.72639,Low Mass White Dwarfs
0.037705,145.3188818767429,34.8504633767417,797745271351197952,145.31888187674,34.85046337674,190.0147288129767,48.90422142431518,0.0765984916568782,,15.666702,-0.083465576,,-6.221056905203991,-6.233355671712101,1.0550438,10.3907444713102,0,1,145.31888187674,34.85046337674,145.318875,34.8504722,094116.53+345101.7,1594-52992-0176,11244,50,3.572,0.018,0.5,0.47,Sloan,SDSS J094116.53+345101.7,145.31887,34.85047,Low Mass White Dwarfs
0.040542,241.4670450477866,4.7201559439016,4425533687620827776,241.46704504779,4.7201559439,16.0256923736958,38.60869784983021,0.0163708901803955,,16.953627,-0.06204796,,-3.730683481820104,-3.8330976789403945,1.079559,10.594945477066922,0,1,241.46704504779,4.7201559439,241.4670417,4.7201667,160552.09+044312.6,2175-54612-0136,15128,177,3.82,0.033,0.43,0.43,Sloan,SDSS J160552.09+044312.6,241.46704,4.72017,Low Mass White Dwarfs
0.166196,241.4670450477866,4.7201559439016,4425533687620827776,241.46704504779,4.7201559439,16.0256923736958,38.60869784983021,0.0163708901803955,,16.953627,-0.06204796,,-3.730683481820104,-3.8330976789403945,1.079559,10.594945477066922,0,1,241.46704504779,4.7201559439,241.467,4.7201667,160552.08+044312.6,2178-54629-0321,14027,248,3.649,0.051,0.45,0.38,Sloan,SDSS J160552.09+044312.6,241.467,4.72017,Low Mass White Dwarfs
0.155426,121.9180054153637,-6.5107095374196,3064094063413603456,121.91800541536,-6.51070953742,227.77356926342668,13.711516984904728,0.8762759406993395,4.910016114698246,15.196812,0.28603745,0.0174121222828034,0.3163627082422535,-2.9484566739566955,3.6626744,7.557213937691952,1,0,121.91800541536,-6.51070953742,121.918,-6.5106667,080740.32-063038.4,2806-54425-0367,9194,13,3.885,0.007,0.57,0.53,Sloan,SDSS J080740.31-063038.4,121.918,-6.51067,Low Mass White Dwarfs
0.175532,206.8224482830911,44.3109126518159,1502470926982060800,206.82244828309,44.31091265182,93.4225151612654,69.4800817849663,0.1477850967466598,,16.375685,-0.04432106,,-11.089555211742828,-8.058673780895045,1.0268037,12.060619903259706,0,1,206.82244828309,44.31091265182,206.8225,44.3109444,134717.40+441839.4,1345-52814-0524,11772,113,4.235,0.037,0.48,0.4,Sloan,SDSS J134717.40+441839.4,206.8225,44.31094,Low Mass White Dwarfs
0.143061,246.9181900547882,51.9657090654089,1424872614677649408,246.91819005479,51.96570906541,79.99360885615644,42.92261333971286,0.0583541288822341,,16.968794,0.036851883,,-9.929157388594392,1.390244360746603,1.0589956,11.97443526706902,0,1,246.91819005479,51.96570906541,246.91825,51.9656944,162740.38+515756.5,3442-54983-0091,11091,63,4.607,0.027,0.52,0.41,Sloan,SDSS J162740.38+515756.5,246.91825,51.96569,Low Mass White Dwarfs
0.12777,351.3057477807531,16.568646527819,2814733622326385408,351.30574778075,16.56864652782,94.86149252821598,-41.55623334043872,0.262874631064891,3.241039218292787,16.142296,-0.14776993,-0.0158556129535933,4.266535911782586,-7.810106538382349,1.0714124,10.889123791950029,1,0,351.30574778075,16.56864652782,351.30575,16.5686111,232513.38+163407.0,6136-56206-0816,18266,77,4.288,0.017,0.53,0.5,Sloan,SDSS J232513.38+163407.1,351.30575,16.56861,Low Mass White Dwarfs
