angDist,_RAJ2000,_DEJ2000,GaiaEDR3,RA_ICRS,DE_ICRS,GLON,GLAT,Plx,GMAG,Gmag,BP-RP,E(BP/RP)c,pmRA,pmDE,RUWE,Rpm,f_Plx,f_pm,_RA.icrs,_DE.icrs,_RAJ2000.1,_DEJ2000.1,recno,CATS,Name,RAJ2000,DEJ2000,Type1,Type2,Orb.Per,Outburst,SpType2,SpType1,Source,rest,plx,pmRA.1,pmDE.1,Gmag.1,GMAG.1,BPmag,RPmag,Teff,Type
0.103316,146.6436241671603,13.8493740345942,614650192750888320,146.64362416716,13.84937403459,220.51403344602303,44.99680915702126,0.7524233751052177,6.347115091005559,16.964804,0.48034668,0.1495009650450178,-0.7306352139337519,-6.169622132378282,1.0572281,10.931217546514585,1,0,146.64362416716,13.84937403459,146.6436272027491,13.8494025818547,1086,CATS,HY Leo,146.6436272027491,13.8494025818547,NL,IP,0.18416,,,,614650192750888320,1151.31225330059,0.8223,-0.659,-6.43,17.259863,6.953897365804069,17.236612,16.642519,,Catacalysmic Variables
0.020953,151.1446750233934,66.4875112786159,1066429869812792576,151.14467502339,66.48751127862,144.2488148171497,43.09146878570492,0.9975008591687682,5.191984605020867,15.197418,0.31647873,0.0239322551772105,-1.23674270438801,-0.5240576203735836,0.9991394,5.838111250320479,1,0,151.14467502339,66.48751127862,151.144688206456,66.48751377183751,973,CATS,LN UMa,151.144688206456,66.4875137718375,NL,VY,0.1444,,,,1066429869812792576,942.995372101992,1.0309,-1.182,-0.562,15.164217,5.291669193129373,15.230137,14.951674,8627.0,Catacalysmic Variables
0.107835,259.6541461093315,41.2642353347443,1347992635655772672,259.65414610933,41.26423533474,66.12224759023968,34.35603559306351,0.9301302083376386,3.9500605134509534,14.107342,0.13054371,0.0133560241589407,-3.438908849845912,5.789272730274544,1.0641041,8.248588114280945,1,0,259.65414610933,41.26423533474,259.6541664175007,41.2642095620397,923,CATS,V825 Her,259.6541664175007,41.2642095620397,NL,,0.206,,,,1347992635655772672,1046.00060013976,0.9273,-3.437,5.803,14.121267,4.023607331467474,14.11887,14.017458,9643.5,Catacalysmic Variables
0.184214,159.9998507368889,-47.0239527356993,5366164442080271232,159.99985073689,-47.0239527357,280.8618204042387,10.137589126010909,0.7153493247515256,5.558826667030258,16.286236,0.32668114,0.0107038047913823,-10.89759362783521,3.633334180948419,1.0238575,11.587330650512744,1,0,159.99985073689,-47.0239527357,159.99992193884094,-47.02396893731041,193,CATS,J1040-4701,159.9999219388409,-47.0239689373104,NL,,0.1577,,,,5366164442080271232,1564.87134314712,0.6121,-10.921,3.648,16.222904,5.250510812179037,16.277647,15.984887,8867.0,Catacalysmic Variables
0.195444,83.7106793781076,-58.0279742383271,4766218190119756928,83.71067937811,-58.02797423833,266.42346801510325,-32.778710258822834,2.3344219332174148,6.037471939851915,14.196576,0.27114487,-0.0113301947592403,-11.466665753201172,3.616433596761163,0.9814647,9.596718295954624,1,0,83.71067937811,-58.02797423833,83.7107769628706,-58.0279908948554,261,CATS,TW Pic,83.7107769628706,-58.0279908948554,NL,VY,0.265,,,,4766218190119756928,432.400928147501,2.2839,-11.632,3.745,14.23388,6.0544469125285865,14.277342,14.042448,9111.33,Catacalysmic Variables
0.102416,15.2871276226193,43.3904713547154,376390390994395904,15.28712762262,43.39047135472,124.8025596375462,-19.4460056455676,1.1412684625535834,4.833436426358436,14.546498,0.067020416,-0.0080441932572146,2.4708220075449554,-5.9042544716050935,1.1776415,8.577534611695791,1,0,15.28712762262,43.39047135472,15.2871124254452,43.3904975726701,1139,CATS,IW And,15.2871124254452,43.3904975726701,DN,ZC,0.155,,,,376390390994395904,816.928555333144,1.1975,2.492,-5.903,15.047071,5.486150615632411,15.08777,14.784702,8472.67,Catacalysmic Variables
0.261347,89.302210989722,-59.5904783798627,4764871219656633600,89.30221098972,-59.59047837986,268.3374044681173,-29.924398405405874,1.7185493757576864,5.391275617636609,14.2154665,0.14068413,0.0218085883889884,-9.514355881224946,13.148152208224127,1.0075692,10.266991878327104,1,0,89.30221098972,-59.59047837986,89.3022941931723,-59.5905375109837,262,CATS,AH Pic,89.3022941931723,-59.5905375109837,NL,UX,0.14095,,,,4764871219656633600,566.690949801857,1.7359,-9.475,13.303,14.203608,5.436876615480527,14.190896,14.097088,9593.0,Catacalysmic Variables
0.150614,82.3690885644957,-58.9127881452616,4760105592664097280,82.3690885645,-58.91278814526,267.49842028211475,-33.4602283593718,1.0858680842071886,4.271990658905597,14.093105,0.043917656,-0.0049588416813661,-1.8120414525245845,9.196249423920053,0.93835133,8.952515205593723,1,0,82.3690885645,-58.91278814526,82.36910449534471,-58.9128291659767,263,CATS,BB Dor,82.3691044953447,-58.9128291659767,NL,SW,0.154095,,M3-4/5,,4760105592664097280,896.135157926345,1.0871,-1.852,9.228,14.099877,4.338009418682454,14.05592,14.053112,9365.0,Catacalysmic Variables
0.048355,122.2849678771013,38.2350678451403,908714959852556672,122.2849678771,38.23506784514,182.7001640258973,30.97736524156961,0.8153021146971096,4.793931863678719,15.23734,0.13522148,0.0080576201174544,-1.6790466704761264,2.381845965011496,0.9750417,7.55991363527983,1,0,122.2849678771,38.23506784514,122.28497821640111,38.2350571462982,1006,CATS,J0809+3814,122.2849782164011,38.2350571462982,NL,SW,0.133616,,,,908714959852556672,1222.23771283406,0.7863,-1.83,2.406,15.226253,4.790474600041186,15.176142,15.09177,9515.0,Catacalysmic Variables
0.072441,13.8327155293178,46.2158103019948,378056288551565824,13.83271552932,46.21581030199,123.63480093914929,-16.650626734180147,1.0441436875554102,4.859762029691211,14.76596,0.115076065,0.0063816229365678,-0.9765575178682766,-4.3966040967391,0.93085486,8.033833532937876,1,0,13.83271552932,46.21581030199,13.832721426752,46.2158300064498,1138,CATS,V515 And,13.832721426752,46.2158300064498,NL,IP,0.113795,,,,378056288551565824,978.443463031348,0.9937,-0.913,-4.435,14.77328,4.820601319640955,14.735647,14.663692,9579.5,Catacalysmic Variables
