_DEJ2000,RA_ICRS,_RAJ2000,GLON,GaiaEDR3,DE_ICRS,Type,Gmag,pmRA,E(BP/RP)c,_DEJ2000.1,f_Plx,_RAJ2000.1,angDist,RUWE,f_pm,Rpm,Plx,_RA.icrs,BP-RP,pmDE,GLAT,_DE.icrs,GMAG
51.41587960096,250.8786242936,250.8786242936046,78.78926162698683,1413338325384928128,51.41587960096,Low Mass White Dwarfs,16.15201,-2.8162433513225187,0.0114840272806908,51.4158889,1,250.8785833,0.097937,0.9964275,0,8.456740500800937,0.3286903792318963,250.8786242936,0.08897972,0.6501776837750977,40.57291838811077,51.41587960096,0.5888146605712734
21.6325602434861,216.98572129767,216.9857212976692,24.14311074446878,1240669924143182592,21.63256024349,Low Mass White Dwarfs,15.586815,-16.920413850785053,0.0060783848924983,21.6325556,1,216.9857083,0.046598,1.0175612,0,12.293171315673002,0.3641936963901864,216.98572129767,0.015361786,-13.96925307542202,67.38893780655064,21.63256024349,0.5364679003107504
46.6393442995381,139.2897919602,139.2897919601999,173.0774278148658,1011260873161111040,46.63934429954,Low Mass White Dwarfs,18.94564,-2.4114247434593845,,46.6393611,0,139.2897917,0.060485,0.9836064,1,11.281204639508635,0.4500494685457076,139.2897919602,-0.11945152,-1.6672222916004342,43.97889535619005,46.63934429954,4.953651139209651
36.1950182712549,235.97316119352,235.9731611935209,57.91051144999704,1375922567463461376,36.19501827125,Low Mass White Dwarfs,16.30096,-0.582897006113807,0.0105436683787816,36.1950278,1,235.973125,0.110605,1.0501946,0,9.768450514331558,0.3087806128704107,235.97316119352,0.17744637,-4.902868213959655,52.52156611513527,36.19501827125,0.4253387752109816
26.6962751145804,248.69337566853,248.6933756685287,45.96109350533887,1304442113951445120,26.69627511458,Low Mass White Dwarfs,17.25292,1.758583110856867,0.0129058440583857,26.6962778,1,248.693375,0.009904,1.1140807,0,10.641618199514582,0.3661185644405924,248.69337566853,0.059934616,-4.424797208958532,40.64633240709442,26.69627511458,2.2289297425943353
25.5050836854693,157.18595853842,157.1859585384207,207.62403221395263,727435316684008832,25.50508368547,Low Mass White Dwarfs,16.188812,-1.646198760080652,0.0127425725788805,25.5050833,1,157.1859583,0.001589,0.93945235,0,9.91256754066029,0.3371427335408583,157.18595853842,0.16651344,-5.306371372007929,58.0890012088072,25.50508368547,0.7525675168301973
34.1983770202381,133.61866431595,133.618664315951,189.54700772958503,713257286043805696,34.19837702024,Low Mass White Dwarfs,17.377834,-4.550677119478266,,34.1983611,0,133.6187083,0.142956,0.97175777,1,11.479040594327529,0.0054814173741821,133.61866431595,0.02469635,-4.794939782100277,39.253863287828985,34.19837702024,-18.654123832706517
-9.6486553951839,4.68476711678,4.6847671167757,97.5753680493587,2428224631979800960,-9.64865539518,Low Mass White Dwarfs,18.7369,-1.4511867873832711,,-9.6486389,0,4.68475,0.084951,1.0305365,1,11.7912033199495,0.0195390904620955,4.68476711678,-0.15854836,-3.8152100486880407,-70.89297969128907,-9.64865539518,-10.939790904691524
-9.6486553951839,4.68476711678,4.6847671167757,97.5753680493587,2428224631979800960,-9.64865539518,Low Mass White Dwarfs,18.7369,-1.4511867873832711,,-9.6486111,0,4.6847083,0.262684,1.0305365,1,11.7912033199495,0.0195390904620955,4.68476711678,-0.15854836,-3.8152100486880407,-70.89297969128907,-9.64865539518,-10.939790904691524
-7.2684079388788,191.61755237025,191.6175523702541,300.7519810801835,3675859515607921664,-7.26840793888,Low Mass White Dwarfs,16.171503,-15.501139866404596,-0.0168538025667461,-7.2683889,1,191.6175417,0.07842,0.989596,0,12.13143330220982,0.2769480049957706,191.61755237025,0.1640377,1.3423930902620045,55.58231392692024,-7.26840793888,-0.24812449005285053
60.3631193747967,149.69678927269,149.6967892726923,151.97890474194824,1050240385727919872,60.3631193748,Low Mass White Dwarfs,15.773585,-0.154528446604834,,60.3631389,0,149.6967917,0.070423,1.0132424,1,10.35612338120698,0.1228013619393951,149.69678927269,-0.12426758,-8.249572398513678,45.83579492125217,60.3631193748,-4.712350863094548
-1.0795687789701,5.97206095739,5.972060957393,107.5507478756036,2541958492714409216,-1.07956877897,Low Mass White Dwarfs,18.365728,1.6980137131397626,,-1.0795278,0,5.9720417,0.162997,1.004316,1,10.30339673222258,-0.0174827693743065,5.97206095739,-0.061922073,-1.7533665479501408,-63.12564910010564,-1.07956877897,
22.5067166196726,115.28449169227,115.284491692265,197.4412923351321,866974474805293056,22.50671661967,Low Mass White Dwarfs,18.056707,0.8849687577407667,,22.5066944,0,115.2844583,0.136865,0.9876732,1,10.327921301850978,-0.1858275800359648,115.28449169227,-0.13285446,-2.7049659919348032,20.576221069055045,22.50671661967,
22.8865428099701,114.80239078909,114.8023907890925,196.8885892351467,867233444154245504,22.88654280997,Low Mass White Dwarfs,15.665871,0.4749499957293848,,22.8865278,0,114.802375,0.075247,1.0907185,1,9.899792177842905,0.1838560664335239,114.80239078909,-0.22514439,-7.01116375221878,20.304445011304946,22.88654280997,-2.8021393756619037
5.8985833359786,30.45222111159,30.4522211115945,152.78588356374863,2519535945930314240,5.89858333598,Low Mass White Dwarfs,16.724924,3.8003575750598926,0.0012951231956588,5.8986111,1,30.4521667,0.218985,1.2631967,0,12.01156761149512,0.617275975350838,30.45222111159,0.34754372,-10.759702232940302,-52.84553250790155,5.89858333598,4.312728653703012
