angDist,_RAJ2000,_DEJ2000,GaiaEDR3,RA_ICRS,DE_ICRS,GLON,GLAT,Plx,GMAG,Gmag,BP-RP,E(BP/RP)c,pmRA,pmDE,RUWE,Rpm,f_Plx,f_pm,_RA.icrs,_DE.icrs,_RAJ2000.1,_DEJ2000.1,DR16Q,SDSS,RAJ2000,DEJ2000,Plate,MJD,Fiber,Class,QSO,z,r_z,Sp,Type
0.155989,191.7783151874803,-0.657169664195,3683849391728631424,191.77831518748,-0.65716966419,300.6137797508978,62.19511340409136,0.4880639001126077,4.878416679094521,16.436033,-0.467247,0.0070317588224666,5.836172438036107,-1.9203825014076048,1.0418175,10.378290512875015,1,0,191.77831518748,-0.65716966419,191.77827194,-0.65716694,0,124706.78-003925.8,191.778272,-0.657167,3793,55214,912,1,0,-0.000142,PIPE,Sp,Quasars
0.202665,235.6161759403864,31.1004856507691,1369390983062132480,235.61617594039,31.10048565077,49.508476924269765,52.66225807367473,0.1672006276497686,,17.516582,-0.43932724,,-0.3212142041994155,-14.73364082259026,0.9917256,13.358648772390165,0,1,235.61617594039,31.10048565077,235.61617694,31.10054194,0,154227.88+310601.9,235.616177,31.100542,5011,55739,436,1,0,-0.000636,PIPE,Sp,Quasars
0.202665,235.6161759403864,31.1004856507691,1369390983062132480,235.61617594039,31.10048565077,49.508476924269765,52.66225807367473,0.1672006276497686,,17.516582,-0.43932724,,-0.3212142041994155,-14.73364082259026,0.9917256,13.358648772390165,0,1,235.61617594039,31.10048565077,235.61617694,31.10054194,0,154227.88+310601.9,235.616177,31.100542,4722,55735,916,1,0,-0.000807,PIPE,Sp,Quasars
0.334973,325.4793595932913,10.4881530592708,1765713144750282624,325.47935959329,10.48815305927,65.69280384287428,-30.634960913853003,1.518597134894269,,19.619156,-0.35707664,,-11.432591204988713,-17.42912206945295,0.9450213,16.214076491994877,0,1,325.47935959329,10.48815305927,325.47941111,10.48823111,0,214155.05+102917.6,325.479411,10.488231,4093,55475,832,1,0,6.5e-05,PIPE,Sp,Quasars
0.008888,319.839042568616,0.9638145700049,2691204212499446272,319.83904256862,0.96381457,52.83704494943383,-31.844033836176763,0.3613196809420768,3.5492275300139013,15.759769,-0.39924145,0.0092907306519554,0.1169913450567631,-2.58413470614742,1.0198969,7.823568182180059,1,0,319.83904256862,0.96381457,319.839045,0.963815,0,211921.37+005749.7,319.839045,0.963815,4192,55469,796,1,0,-0.000221,PIPE,Sp,Quasars
0.089241,216.9209398399081,1.7152680301645,3654573039213596672,216.92093983991,1.71526803016,349.22538964156854,55.68395506201088,0.4569220820125317,4.417805858463986,16.118595,-0.40258217,-0.0061563059258189,-0.1690739581831017,-3.9145320774615984,1.0700933,9.08401794909152,1,0,216.92093983991,1.71526803016,216.92094889,1.71529111,0,142741.02+014255.0,216.920949,1.715291,4027,55629,36,1,0,-0.000125,PIPE,Sp,Quasars
0.202565,24.5530184271206,1.0640451990299,2510507134400355328,24.55301842712,1.06404519903,146.57089822826646,-59.64366568395576,0.4378809613208135,,18.110249,-0.5289459,,-5.738819069714856,-14.608247406049406,1.011442,14.089063568098284,0,1,24.55301842712,1.06404519903,24.55305389,1.06408889,0,013812.73+010350.7,24.553054,1.064089,4231,55444,591,1,0,0.000166,PIPE,Sp,Quasars
0.126411,21.5105988034442,-0.809642773456,2533873719291048704,21.51059880344,-0.80964277346,141.87657359005885,-62.401749986473455,0.3476570843016431,,18.225046,-0.51055527,,7.237563228010953,-5.929597646627008,0.93089837,13.080592828845775,0,1,21.51059880344,-0.80964277346,21.51057306,-0.80961889,0,012602.53-004834.6,21.510573,-0.809619,4228,55484,60,1,0,-0.000143,PIPE,Sp,Quasars
0.089901,18.1492158695432,0.8051870317859,2534946700905703168,18.14921586954,0.80518703179,134.1098028514087,-61.606499588944295,0.074775076506748,,17.75052,-0.08468056,,2.174976703920051,-0.836734944756505,0.9535057,9.587649950372516,0,1,18.14921586954,0.80518703179,18.14919389,0.80519889,0,011235.80+004818.7,18.149194,0.805199,3736,55214,954,1,0,-0.000351,PIPE,Sp,Quasars
0.141909,15.8425043554432,-0.3466111250968,2536159496590552704,15.84250435544,-0.3466111251,129.52882920533656,-63.06542509598607,0.8168154873847343,,19.302286,-0.5085468,,6.195574973272038,-6.550337624715163,1.0670109,14.077406604044665,0,1,15.84250435544,-0.3466111251,15.84247389,-0.34658611,0,010322.19-002047.7,15.842474,-0.346586,4225,55455,148,1,0,-0.000547,PIPE,Sp,Quasars
0.141909,15.8425043554432,-0.3466111250968,2536159496590552704,15.84250435544,-0.3466111251,129.52882920533656,-63.06542509598607,0.8168154873847343,,19.302286,-0.5085468,,6.195574973272038,-6.550337624715163,1.0670109,14.077406604044665,0,1,15.84250435544,-0.3466111251,15.84247389,-0.34658611,0,010322.19-002047.7,15.842474,-0.346586,3736,55214,492,1,0,-0.000161,PIPE,Sp,Quasars
0.054498,110.5054958938943,40.5361659792353,948264290024452224,110.50549589389,40.53616597924,177.68279184492988,22.727671303384977,0.3287503147890648,3.8807195128438,16.296389,-0.31864738,-0.013072523085948,1.2080330611210126,-3.730556664336525,0.9784059,9.263525143849986,1,0,110.50549589389,40.53616597924,110.50548389,40.53617806,0,072201.31+403210.2,110.505484,40.536178,3656,55241,356,1,0,-7.5e-05,PIPE,Sp,Quasars
