angDist,_RAJ2000,_DEJ2000,GaiaEDR3,RA_ICRS,DE_ICRS,GLON,GLAT,Plx,GMAG,Gmag,BP-RP,E(BP/RP)c,pmRA,pmDE,RUWE,Rpm,f_Plx,f_pm,_RA.icrs,_DE.icrs,_RAJ2000,_DEJ2000,P-M-F,SDSSJ,SNg,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,E(B-V),PM,GLON,GLAT,Type,Sp,_RA,_DE
0.251550,146.6564307978539,7.0786795952613,3853751456075688832,146.65643079785,7.07867959526,228.7923865570582,41.87147490534277,2.1343284223400554,,19.517223,-0.3062458,,-16.895547376136676,-6.476531202562465,1.0013125,15.804936557976184,0,1,146.65643079785,7.07867959526,146.6565,7.0786667,1234-52724-0080,094637.56+070443.28,7,19.465,0.033,19.341,0.016,19.683,0.021,19.966,0.031,20.195,0.119,0.02,19.0,228.8,41.9,DA,Sp,146.6565,7.07867
0.144427,161.9128806994611,9.7400465232358,3869398301107963008,161.91288069946,9.74004652324,237.79547766546386,56.04080151214997,0.0519265088805122,,16.975632,-0.42938614,,-15.165503003819548,-12.713111075427367,0.97466487,13.457781883390183,0,1,161.91288069946,9.74004652324,161.9129167,9.7400278,5351-55952-0218,104739.10+094424.17,42,16.331,0.009,16.726,0.017,17.23,0.024,17.577,0.017,17.894,0.025,0.022,18.8,237.8,56.0,He-sdO,Sp,161.91292,9.74003
0.113259,159.1742871077749,5.1353089266069,3858894284275650304,159.17428710777,5.13530892661,241.2962386176982,51.11418236182841,0.4668597220987902,,19.422348,-0.5197544,,-4.979490787423698,2.8022344195045124,0.9240694,13.20698441377926,0,1,159.17428710777,5.13530892661,159.1742917,5.1352778,4852-55689-0282,103641.83+050807.04,16,18.85,0.025,19.697,0.021,19.697,0.021,20.033,0.028,20.455,0.102,0.024,4.2,241.3,51.1,DA,Sp,159.17429,5.13528
0.211082,158.1712136886473,9.0396694919098,3870000588666188288,158.17121368865,9.03966949191,235.22640592821094,52.594507528188515,0.016610655514086428,,19.589296,-0.36112213,,-2.929501402590135,-4.086319312062926,0.9939569,13.096238241955852,0,1,158.17121368865,9.03966949191,158.1712083,9.0396111,5344-55924-0782,103241.09+090222.67,14,18.857,0.032,19.29,0.017,19.831,0.021,20.142,0.031,20.413,0.145,0.027,14.3,235.2,52.6,DAO,Sp,158.17121,9.03961
0.198496,149.9356555540307,6.3693226962236,3850278133203283200,149.93565555403,6.36932269622,231.93621088098112,44.287987412646906,0.8308327129578973,,18.365368,-0.46251488,,-20.13184341991967,-8.004482425301765,1.0432657,15.044139654231373,0,1,149.93565555403,6.36932269622,149.9357083,6.3693056,4874-55673-0236,095944.57+062209.55,30,17.673,0.017,18.118,0.014,18.605,0.018,19.004,0.016,19.365,0.06,0.035,22.4,231.9,44.3,DA,Sp,149.93571,6.36931
0.377503,144.347939056319,7.0208362460075,3854277812907250816,144.34793905632,7.02083624601,227.3417101249222,39.85924814821009,1.4629103926172167,,19.18798,-0.33312225,,-26.345730105166417,-6.957045377563518,1.0313426,16.36471879645225,0,1,144.34793905632,7.02083624601,144.3480417,7.0208611,1196-52733-0016,093723.53+070115.19,8,18.946,0.022,19.01,0.019,19.365,0.02,19.697,0.027,19.9,0.1,0.038,26.7,227.3,39.9,DA,Sp,144.34804,7.02086
0.101335,146.8598959615981,7.9185087924112,3854663947647296256,146.8598959616,7.91850879241,227.948346789255,42.4670246415239,1.7304733046034673,,19.461647,-0.120500565,,6.852572199867623,-4.774075966993305,0.9121347,14.070500589217612,0,1,146.8598959616,7.91850879241,146.859875,7.9185278,1234-52724-0571,094726.37+075506.70,8,19.257,0.026,19.356,0.023,19.648,0.02,19.885,0.029,20.289,0.153,0.019,11.8,227.9,42.5,DB,Sp,146.85987,7.91853
0.101063,161.4856884809795,11.7929091906205,3872100930753291392,161.48568848098,11.79290919062,234.28155792382444,56.8262471280709,1.5309668259417817,,19.104652,-0.39157104,,-29.910429319501585,-1.703567158188065,0.9622807,16.4872820307339,0,1,161.48568848098,11.79290919062,161.4857083,11.7928889,5351-55952-0696,104556.57+114734.45,15,18.849,0.024,18.869,0.023,19.26,0.025,19.626,0.025,19.785,0.102,0.021,35.2,234.3,56.8,DA,Sp,161.48571,11.79289
0.064018,158.7537899902898,2.5023788005212,3855978177575413376,158.75378999029,2.50237880052,244.06287258642925,49.1233477788821,0.46077277557559815,,18.427013,-0.18113708,,-2.4560682648374983,-6.7073182372266675,0.9824004,12.696372763232517,0,1,158.75378999029,2.50237880052,158.7537917,2.5023611,4734-55646-0608,103500.91+023008.59,22,17.853,0.024,18.273,0.017,18.73,0.018,18.856,0.021,18.762,0.044,0.027,14.1,244.1,49.1,DA+M,Sp,158.75379,2.50236
0.170426,165.5212867648332,8.7287334016826,3866740193093026176,165.52128676483,8.72873340168,243.23677234110303,58.28007716178013,1.5489810073402972,,19.184454,-0.0076389313,,-10.152573819410037,3.671224460372363,1.0873923,14.350759233003473,0,1,165.52128676483,8.72873340168,165.5213333,8.7287222,5359-55953-0836,110205.12+084343.46,17,19.114,0.025,19.338,0.016,19.338,0.016,19.578,0.029,19.868,0.072,0.026,4.3,243.2,58.3,DA,Sp,165.52133,8.72872
0.052686,165.8345114507684,8.9460463135796,3866844165661110784,165.83451145077,8.94604631358,243.28598432321138,58.65737880292006,0.7392455954990853,,19.41587,-0.43432045,,4.949984472072723,-2.881243651355427,0.9440114,13.20568475194434,0,1,165.83451145077,8.94604631358,165.8345,8.9460556,5361-55973-0412,110320.28+085645.82,19,18.957,0.018,19.635,0.024,19.635,0.024,20.002,0.045,20.23,0.19,0.022,10.1,243.3,58.7,DA,Sp,165.8345,8.94606
0.117829,118.2277365653832,18.3462034520576,668646457174058496,118.22773656538,18.34620345206,202.68636873806992,21.555497829302787,0.9820288532429149,,18.72775,-0.48054504,,11.488231524661353,-13.307376681539566,1.1037724,14.952877869880567,0,1,118.22773656538,18.34620345206,118.2277083,18.3462222,2729-54419-0515,075254.65+182046.43,31,18.098,0.014,18.945,0.013,18.945,0.013,19.373,0.022,19.718,0.073,0.037,12.4,202.7,21.6,DA,Sp,118.22771,18.34622
0.110363,119.1407806295639,16.5663522729902,667200354568415488,119.14078062956,16.56635227299,204.81449867019336,21.664233365567856,0.7382516730164134,,19.178099,-0.42936134,,11.111257566622077,-12.667108942571533,0.9639135,15.311072198673386,0,1,119.14078062956,16.56635227299,119.14075,16.5663611,4495-55566-0926,075633.78+163358.94,19,18.506,0.021,18.926,0.018,19.434,0.02,19.828,0.023,20.243,0.095,0.03,15.4,204.8,21.7,DOuhe,Sp,119.14075,16.56636
0.171266,119.357956072487,16.799161144904,667227601840037376,119.35795607249,16.7991611449,204.67191664324574,21.946994210679645,0.5395958963020892,,19.60857,-0.5110016,,-9.814605499188993,3.186034654716618,1.0042292,14.676712656351501,0,1,119.35795607249,16.7991611449,119.358,16.7991389,2080-53350-0572,075725.92+164756.94,9,19.068,0.023,19.364,0.016,19.839,0.019,20.196,0.029,20.752,0.145,0.036,20.2,204.7,21.9,DA,Sp,119.358,16.79914
0.101519,120.5932247390824,18.9522093805428,669305369579114496,120.59322473908,18.95220938054,203.00316466368272,23.85877458101333,0.3621917633380567,,19.652515,-0.4736557,,-4.007496447843071,-1.0329975233313045,1.0491318,12.736725817595683,0,1,120.59322473908,18.95220938054,120.59325,18.9521944,1923-53319-0422,080222.38+185707.92,10,18.945,0.016,19.954,0.02,19.954,0.02,20.239,0.03,20.692,1.044,0.028,0.0,203.0,23.9,DA,Sp,120.59325,18.95219
0.016142,119.3840866988324,18.7248024783893,669989781207531904,119.38408669883,18.72480247839,202.76186749354179,22.713278637165725,0.02118929445776175,,18.546534,-0.5179844,,-2.443555414064595,-2.8313337261714953,1.0603848,11.410877204612184,0,1,119.38408669883,18.72480247839,119.3840833,18.7248056,2729-54419-0601,075732.18+184329.38,33,17.836,0.023,18.292,0.014,18.784,0.013,19.176,0.018,19.489,0.058,0.03,10.9,202.8,22.7,O(He),Sp,119.38408,18.72481
0.098031,117.0305262602917,19.5465669623696,671837991534596480,117.03052626029,19.54656696237,201.03064560124358,20.970529452413373,0.24246248732297226,,17.689028,-0.3604412,,2.5955965580156675,-11.158320415831534,0.97923046,12.984236618656382,0,1,117.03052626029,19.54656696237,117.0305,19.5465556,4485-55836-0268,074807.32+193247.61,46,17.378,0.016,17.466,0.013,17.912,0.014,18.218,0.012,18.457,0.028,0.045,12.2,201.0,21.0,sdB,Sp,117.0305,19.54656
0.081185,118.4118095452704,18.3324170106572,668463732084654848,118.41180954527,18.33241701066,202.77248055514758,21.711418023118394,1.0677590613085002,,20.374458,-0.017597198,,-5.691122680566173,-4.119155967333796,0.9192549,14.607815266138651,0,1,118.41180954527,18.33241701066,118.4118333,18.3324167,2729-54419-0516,075338.84+181956.72,9,20.528,0.054,20.223,0.018,20.543,0.031,20.815,0.046,20.999,0.226,0.04,14.4,202.8,21.7,DA,Sp,118.41183,18.33242
0.463455,220.1504932187681,5.4068243378464,1159067504023867904,220.15049321877,5.40682433785,357.9369541855289,56.13673240408463,0.46475132862615964,4.782846211485413,16.446743,-0.4065094,-0.004376435316591376,-16.83471507878982,-21.555741790095915,0.98584884,13.631580767239157,1,0,220.15049321877,5.40682433785,220.1505833,5.4069167,1829-53494-0300,144036.14+052424.90,40,15.951,0.016,16.186,0.019,16.666,0.018,16.997,0.024,17.328,0.027,0.033,27.5,357.9,56.1,sdA,Sp,220.15058,5.40692
0.255278,221.7373477833827,3.7820451053936,1157774684508216320,221.73734778338,3.78204510539,357.75012395615374,53.87173450615398,0.3431780858345211,4.2465178730916975,16.56892,0.31583786,-0.01729782166422522,-14.655387481151465,3.478570848272213,0.94455725,12.458414669167308,1,0,221.73734778338,3.78204510539,221.7374167,3.7820278,0587-52026-0101,144656.98+034655.32,54,17.768,0.019,16.653,0.021,16.635,0.019,16.702,0.02,16.751,0.014,0.031,14.9,357.8,53.9,sdA,Sp,221.73742,3.78203
0.091510,328.9746095997307,20.4674784485458,1780738112877673856,328.97460959973,20.46747844855,76.5615502110085,-26.199915177720577,0.3466172051394738,3.414506317879745,15.715257,-0.32640743,0.00882178171299608,8.279566677849385,5.2949671601064425,0.96570015,10.67756261789523,1,0,328.97460959973,20.46747844855,328.9745833,20.4674722,5022-55827-0800,215553.90+202802.92,57,15.169,0.016,15.538,0.012,15.932,0.015,16.234,0.01,16.516,0.02,0.085,13.4,76.6,-26.2,sdOBA,Sp,328.97458,20.46747
0.056555,336.8861228597243,22.602821184966,1875278658119889408,336.88612285972,22.60282118497,84.47220101904387,-29.319772389066316,0.6305413338248063,4.938526377953377,15.939959,-0.37942886,-4.597275076738683E-4,-12.563541695451034,-4.948753233148904,1.0125018,11.59212026731274,1,0,336.88612285972,22.60282118497,336.886125,22.6028056,6299-56478-0216,222732.67+223610.14,80,15.526,0.012,15.756,0.009,16.198,0.009,16.528,0.013,16.803,0.018,0.037,16.5,84.5,-29.3,sdB,Sp,336.88612,22.60281
0.083308,164.0336434901832,5.0830267794617,3816074216248741888,164.03364349018,5.08302677946,246.53027680097946,54.7898310319565,0.8611468667899804,,18.924738,-0.45625305,,-3.9749156482857995,-1.0626395526545431,1.0508921,11.996326307628102,0,1,164.03364349018,5.08302677946,164.0336667,5.0830278,4774-55659-0963,105608.08+050458.94,12,18.369,0.017,19.189,0.019,19.189,0.019,19.507,0.022,19.77,0.064,0.031,3.5,246.5,54.8,DA,Sp,164.03367,5.08303
0.053646,237.7649648201724,47.458069065492,1398287767843592192,237.76496482017,47.45806906549,75.43151273115397,49.65515650398964,0.5293568194979859,4.54875240341174,15.93001,-0.32847786,-1.5065992055518507E-4,1.8515833689595649,-11.499553282858207,1.1045495,11.261204014195226,1,0,237.76496482017,47.45806906549,237.7649583,47.4580833,6730-56425-0394,155103.59+472729.15,46,15.613,0.017,15.75,0.019,16.156,0.013,16.458,0.017,16.687,0.028,0.013,12.4,75.4,49.7,sdB,Sp,237.76496,47.45808
0.244496,160.2118905437152,-0.3351157671457,3806089551156601088,160.21189054372,-0.33511576715,248.73664626843873,48.3048315542738,1.329997965981107,,18.954536,-0.31755447,,-15.556980603292237,0.1842715339092827,0.96543336,14.914315335548263,0,1,160.21189054372,-0.33511576715,160.2119583,-0.3351111,3771-55544-0782,104050.87-002006.47,21,18.629,0.014,19.155,0.019,19.155,0.019,19.46,0.023,19.979,0.117,0.042,10.6,248.7,48.3,DA,Sp,160.21196,-0.33511
0.757162,166.1087997319516,6.2751789786285,3816670907465131776,166.10879973195,6.27517897863,247.42887065457433,57.12057278893324,1.7936087670642116,,18.680386,-0.33577156,,-45.724791569675695,22.432857676471265,0.979719,17.215306191909242,0,1,166.10879973195,6.27517897863,166.109,6.2751111,1003-52641-0133,110426.16+061630.42,14,18.471,0.023,18.54,0.062,18.851,0.018,19.139,0.044,19.421,0.06,0.04,49.8,247.4,57.1,DA,Sp,166.109,6.27511
0.109379,169.138714274924,5.4188035048806,3816862432942201216,169.13871427492,5.41880350488,252.55244898506828,58.67351853547323,0.37805777338932045,,17.856335,0.067150116,,-11.288733246278154,-12.679746349875947,0.972225,14.005612745724907,0,1,169.13871427492,5.41880350488,169.1387083,5.4188333,4769-55931-0546,111633.29+052507.81,30,17.747,0.022,17.83,0.015,17.992,0.018,18.142,0.017,18.224,0.036,0.058,21.2,252.6,58.7,sdOB,Sp,169.13871,5.41883
