angDist,_RAJ2000,_DEJ2000,GaiaEDR3,RA_ICRS,DE_ICRS,GLON,GLAT,Plx,GMAG,Gmag,BP-RP,E(BP/RP)c,pmRA,pmDE,RUWE,Rpm,f_Plx,f_pm,_RA.icrs,_DE.icrs,_RAJ2000,_DEJ2000,SDSS,PMF,SNRg,Teff,e_Teff,logg,e_logg,Sloan,SimbadName,_RA,_DE
0.097937,250.8786242936046,51.41587960096,1413338325384928128,250.8786242936,51.41587960096,78.78926162698683,40.57291838811077,0.3286903792318963,3.735944926325473,16.15201,0.08897972,0.011484027280690867,-2.8162433513225187,0.6501776837750977,0.9964275,8.456740500800937,1,0,250.8786242936,51.41587960096,250.8785833,51.4158889,164330.86+512457.2,6314-56191-0922,42.67,7748,10,6.253,0.023,Sloan,SDSS J164330.86+512457.2,250.87858,51.41589
0.046598,216.9857212976692,21.6325602434861,1240669924143182592,216.98572129767,21.63256024349,24.14311074446878,67.38893780655064,0.36419369639018645,3.393477003279962,15.586815,0.015361786,0.006078384892498345,-16.920413850785053,-13.969253075422019,1.0175612,12.293171315673002,1,0,216.98572129767,21.63256024349,216.9857083,21.6325556,142756.57+213757.2,5900-56043-0570,48.86,7899,8,6.179,0.019,Sloan,SDSS J142756.58+213757.3,216.98571,21.63256
0.060485,139.2897919601999,46.6393442995381,1011260873161111040,139.2897919602,46.63934429954,173.07742781486579,43.97889535619005,0.4500494685457076,,18.94564,-0.11945152,,-2.4114247434593845,-1.6672222916004342,0.9836064,11.281204639508637,0,1,139.2897919602,46.63934429954,139.2897917,46.6393611,091709.55+463821.7,7517-56772-0816,14.88,12958,111,5.842,0.029,Sloan,SDSS J091709.55+463821.7,139.28979,46.63936
0.110605,235.9731611935209,36.1950182712549,1375922567463461376,235.97316119352,36.19501827125,57.91051144999704,52.52156611513527,0.30878061287041075,3.7492106650919865,16.30096,0.17744637,0.010543668378781623,-0.582897006113807,-4.902868213959655,1.0501946,9.768450514331558,1,0,235.97316119352,36.19501827125,235.973125,36.1950278,154353.55+361142.1,4974-56038-0969,43.22,7552,9,5.775,0.022,Sloan,SDSS J154353.55+361142.1,235.97312,36.19503
0.009904,248.6933756685287,26.6962751145804,1304442113951445120,248.69337566853,26.69627511458,45.961093505338866,40.64633240709442,0.36611856444059243,5.071028904829859,17.25292,0.059934616,0.012905844058385796,1.758583110856867,-4.424797208958532,1.1140807,10.641618199514582,1,0,248.69337566853,26.69627511458,248.693375,26.6962778,163446.41+264146.6,4190-55686-0618,37.38,7749,13,5.949,0.032,Sloan,SDSS J163446.41+264146.6,248.69337,26.69628
0.001589,157.1859585384207,25.5050836854693,727435316684008832,157.18595853842,25.50508368547,207.62403221395263,58.089001208807204,0.33714273354085833,3.8278812745417348,16.188812,0.16651344,0.012742572578880562,-1.646198760080652,-5.306371372007929,0.93945235,9.91256754066029,1,0,157.18595853842,25.50508368547,157.1859583,25.5050833,102844.63+253018.3,6464-56309-0762,52.64,7510,8,6.082,0.018,Sloan,SDSS J102844.63+253018.3,157.18596,25.50508
