angDist,_RAJ2000,_DEJ2000,GaiaEDR3,RA_ICRS,DE_ICRS,GLON,GLAT,Plx,GMAG,Gmag,BP-RP,E(BP/RP)c,pmRA,pmDE,RUWE,Rpm,f_Plx,f_pm,_RA.icrs,_DE.icrs,_RAJ2000.1,_DEJ2000.1,P-M-F,SDSSJ,SNg,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,E(B-V),PM,GLON.1,GLAT.1,Type,Sp,_RA,_DE
0.377503,144.347939056319,7.0208362460075,3854277812907250816,144.34793905632,7.02083624601,227.3417101249222,39.85924814821009,1.462910392617217,,19.18798,-0.33312225,,-26.345730105166417,-6.957045377563518,1.0313426,16.36471879645225,0,1,144.34793905632,7.02083624601,144.3480417,7.0208611,1196-52733-0016,093723.53+070115.19,8,18.946,0.022,19.01,0.019,19.365,0.02,19.697,0.027,19.9,0.1,0.038,26.7,227.3,39.9,DA,Sp,144.34804,7.02086
0.101335,146.8598959615981,7.9185087924112,3854663947647296256,146.8598959616,7.91850879241,227.948346789255,42.4670246415239,1.7304733046034673,,19.461647,-0.120500565,,6.852572199867623,-4.774075966993305,0.9121347,14.070500589217612,0,1,146.8598959616,7.91850879241,146.859875,7.9185278,1234-52724-0571,094726.37+075506.70,8,19.257,0.026,19.356,0.023,19.648,0.02,19.885,0.029,20.289,0.153,0.019,11.8,227.9,42.5,DB,Sp,146.85987,7.91853
0.101063,161.4856884809795,11.7929091906205,3872100930753291392,161.48568848098,11.79290919062,234.28155792382444,56.8262471280709,1.5309668259417817,,19.104652,-0.39157104,,-29.910429319501585,-1.703567158188065,0.9622807,16.4872820307339,0,1,161.48568848098,11.79290919062,161.4857083,11.7928889,5351-55952-0696,104556.57+114734.45,15,18.849,0.024,18.869,0.023,19.26,0.025,19.626,0.025,19.785,0.102,0.021,35.2,234.3,56.8,DA,Sp,161.48571,11.79289
0.064018,158.7537899902898,2.5023788005212,3855978177575413376,158.75378999029,2.50237880052,244.06287258642925,49.1233477788821,0.4607727755755981,,18.427013,-0.18113708,,-2.4560682648374983,-6.707318237226668,0.9824004,12.696372763232516,0,1,158.75378999029,2.50237880052,158.7537917,2.5023611,4734-55646-0608,103500.91+023008.59,22,17.853,0.024,18.273,0.017,18.73,0.018,18.856,0.021,18.762,0.044,0.027,14.1,244.1,49.1,DA+M,Sp,158.75379,2.50236
0.170426,165.5212867648332,8.7287334016826,3866740193093026176,165.52128676483,8.72873340168,243.23677234110303,58.28007716178013,1.5489810073402972,,19.184454,-0.0076389313,,-10.152573819410035,3.671224460372363,1.0873923,14.350759233003473,0,1,165.52128676483,8.72873340168,165.5213333,8.7287222,5359-55953-0836,110205.12+084343.46,17,19.114,0.025,19.338,0.016,19.338,0.016,19.578,0.029,19.868,0.072,0.026,4.3,243.2,58.3,DA,Sp,165.52133,8.72872
0.052686,165.8345114507684,8.9460463135796,3866844165661110784,165.83451145077,8.94604631358,243.28598432321135,58.65737880292006,0.7392455954990853,,19.41587,-0.43432045,,4.949984472072723,-2.881243651355427,0.9440114,13.20568475194434,0,1,165.83451145077,8.94604631358,165.8345,8.9460556,5361-55973-0412,110320.28+085645.82,19,18.957,0.018,19.635,0.024,19.635,0.024,20.002,0.045,20.23,0.19,0.022,10.1,243.3,58.7,DA,Sp,165.8345,8.94606
0.117829,118.2277365653832,18.3462034520576,668646457174058496,118.22773656538,18.34620345206,202.68636873806992,21.555497829302787,0.9820288532429148,,18.72775,-0.48054504,,11.488231524661352,-13.307376681539566,1.1037724,14.952877869880568,0,1,118.22773656538,18.34620345206,118.2277083,18.3462222,2729-54419-0515,075254.65+182046.43,31,18.098,0.014,18.945,0.013,18.945,0.013,19.373,0.022,19.718,0.073,0.037,12.4,202.7,21.6,DA,Sp,118.22771,18.34622
0.110363,119.1407806295639,16.5663522729902,667200354568415488,119.14078062956,16.56635227299,204.81449867019336,21.664233365567856,0.7382516730164134,,19.178099,-0.42936134,,11.111257566622076,-12.667108942571533,0.9639135,15.311072198673386,0,1,119.14078062956,16.56635227299,119.14075,16.5663611,4495-55566-0926,075633.78+163358.94,19,18.506,0.021,18.926,0.018,19.434,0.02,19.828,0.023,20.243,0.095,0.03,15.4,204.8,21.7,DOuhe,Sp,119.14075,16.56636
0.171266,119.357956072487,16.799161144904,667227601840037376,119.35795607249,16.7991611449,204.6719166432457,21.946994210679645,0.5395958963020892,,19.60857,-0.5110016,,-9.814605499188993,3.186034654716618,1.0042292,14.6767126563515,0,1,119.35795607249,16.7991611449,119.358,16.7991389,2080-53350-0572,075725.92+164756.94,9,19.068,0.023,19.364,0.016,19.839,0.019,20.196,0.029,20.752,0.145,0.036,20.2,204.7,21.9,DA,Sp,119.358,16.79914
0.101519,120.5932247390824,18.9522093805428,669305369579114496,120.59322473908,18.95220938054,203.00316466368272,23.85877458101333,0.3621917633380567,,19.652515,-0.4736557,,-4.007496447843071,-1.0329975233313045,1.0491318,12.736725817595683,0,1,120.59322473908,18.95220938054,120.59325,18.9521944,1923-53319-0422,080222.38+185707.92,10,18.945,0.016,19.954,0.02,19.954,0.02,20.239,0.03,20.692,1.044,0.028,0.0,203.0,23.9,DA,Sp,120.59325,18.95219
0.081185,118.4118095452704,18.3324170106572,668463732084654848,118.41180954527,18.33241701066,202.7724805551476,21.711418023118394,1.0677590613085002,,20.374458,-0.017597198,,-5.691122680566173,-4.119155967333796,0.9192549,14.607815266138653,0,1,118.41180954527,18.33241701066,118.4118333,18.3324167,2729-54419-0516,075338.84+181956.72,9,20.528,0.054,20.223,0.018,20.543,0.031,20.815,0.046,20.999,0.226,0.04,14.4,202.8,21.7,DA,Sp,118.41183,18.33242
0.083308,164.0336434901832,5.0830267794617,3816074216248741888,164.03364349018,5.08302677946,246.53027680097944,54.7898310319565,0.8611468667899804,,18.924738,-0.45625305,,-3.9749156482858,-1.0626395526545431,1.0508921,11.996326307628102,0,1,164.03364349018,5.08302677946,164.0336667,5.0830278,4774-55659-0963,105608.08+050458.94,12,18.369,0.017,19.189,0.019,19.189,0.019,19.507,0.022,19.77,0.064,0.031,3.5,246.5,54.8,DA,Sp,164.03367,5.08303
0.244496,160.2118905437152,-0.3351157671457,3806089551156601088,160.21189054372,-0.33511576715,248.73664626843876,48.3048315542738,1.329997965981107,,18.954536,-0.31755447,,-15.556980603292237,0.1842715339092827,0.96543336,14.914315335548263,0,1,160.21189054372,-0.33511576715,160.2119583,-0.3351111,3771-55544-0782,104050.87-002006.47,21,18.629,0.014,19.155,0.019,19.155,0.019,19.46,0.023,19.979,0.117,0.042,10.6,248.7,48.3,DA,Sp,160.21196,-0.33511
